POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,price,area,bedrooms,longitude,latitude,CITY_NAME
Dealer,0,1,3,BHK,1038.883942,1,1,"Powai,Mumbai",19.12,72.91,28000000.0,1038.883942,3,19.12,72.91,Unknown
Owner,0,0,3,BHK,1538.141758,1,1,"Yelahanka,Bangalore",13.11389,77.59833,7400000.0,1538.141758,3,13.11389,77.59833,Unknown
Owner,0,0,2,BHK,5000.0,1,1,"Malviya Nagar,Jaipur",26.850391,75.814198,8500000.0,5000.0,2,26.850391,75.814198,Unknown
Dealer,0,0,3,BHK,1602.084012,1,1,"Sector 77 Faridabad,Faridabad",28.368269,77.37273,4920000.0,1602.084012,3,28.368269,77.37273,Unknown
Owner,0,0,2,BHK,1200.0,1,1,"Madhuranagar,Vijayawada",16.51667,80.61667,4500000.0,1200.0,2,16.51667,80.61667,Unknown
Owner,0,0,2,BHK,760.0709400000001,1,1,"Tilakwadi,Belgaum",15.86667,74.5,6000000.0,760.0709400000001,2,15.86667,74.5,Unknown
Owner,1,0,2,BHK,739.8273736000001,0,1,"tallaiya,Bhopal",23.25,77.41667,3000000.0,739.8273736000001,2,23.25,77.41667,Unknown
Owner,0,0,2,BHK,1260.02291,1,1,"Mulki,Mangalore",13.0915,74.7844,3300000.0,1260.02291,2,13.0915,74.7844,Unknown
Owner,0,0,2,BHK,1100.151745,1,1,"Manewada,Nagpur",21.093676,79.111965,2900000.0,1100.151745,2,21.093676,79.111965,Unknown
Dealer,0,1,3,BHK,2293.077091,1,1,"Kharadi,Pune",18.5438,73.9438,21000000.0,2293.077091,3,18.5438,73.9438,Unknown
Dealer,0,0,2,BHK,1146.480331,1,1,"Sector-8 Ulwe,Lalitpur",19.216097,72.821721,8860000.0,1146.480331,2,19.216097,72.821721,Unknown
Dealer,0,1,4,BHK,2224.059764,1,1,"Goregaon (East),Lalitpur",19.1615,72.8731,78000000.0,2224.059764,4,19.1615,72.8731,Unknown
Dealer,0,0,2,BHK,759.8784195000001,1,1,"Joka,Kolkata",22.452032,88.298947,3000000.0,759.8784195000001,2,22.452032,88.298947,Unknown
Owner,0,0,4,BHK,2260.251857,1,1,"Wilson Garden,Bangalore",12.9506,77.5952,14000000.0,2260.251857,4,12.9506,77.5952,Unknown
Dealer,0,0,3,BHK,767.0182167,1,1,"DN Nagar,Maharashtra",20.742166,80.104602,24000000.0,767.0182167,3,20.742166,80.104602,Unknown
Owner,0,0,4,BHK,2500.0,1,1,"Ramprastha,Ghaziabad",28.66667,77.41667,16000000.0,2500.0,4,28.66667,77.41667,Unknown
Dealer,1,1,4,BHK,2286.236854,0,1,"Gomti Nagar Extension,Lucknow",21.0,77.0,10000000.0,2286.236854,4,21.0,77.0,Unknown
Owner,0,1,2,BHK,1150.086256,1,1,"Sector-74 Noida,Noida",28.577672999999997,77.389781,6000000.0,1150.086256,2,28.577672999999997,77.389781,Unknown
Dealer,0,1,2,BHK,1004.932182,1,1,"New Panvel,Mumbai",18.966114,73.148278,8150000.0,1004.932182,2,18.966114,73.148278,Unknown
Owner,0,0,2,BHK,800.0,1,1,"Prantik,Kolkata",22.56972,88.36972,3400000.0,800.0,2,22.56972,88.36972,Unknown
Dealer,1,0,3,BHK,993.75,0,1,"Subhas Pally,Siliguri",26.706157,88.439748,3180000.0,993.75,3,26.706157,88.439748,Unknown
Dealer,0,0,2,BHK,1298.139334,1,1,"Jatkhedi,Bhopal",23.169982,77.477889,3000000.0,1298.139334,2,23.169982,77.477889,Unknown
Dealer,0,1,2,BHK,996.797438,1,1,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,2490000.0,996.797438,2,26.900926,75.775927,Unknown
Owner,0,0,2,BHK,985.0194952,1,1,"CV Raman Nagar,Bangalore",12.98556,77.66389000000001,4800000.0,985.0194952,2,12.98556,77.66389000000001,Unknown
Dealer,0,0,3,BHK,1118.75,1,1,"Medavakkam,Chennai",12.91716,80.19287,5370000.0,1118.75,3,12.91716,80.19287,Unknown
Dealer,0,1,2,BHK,889.8305085000001,1,1,"Sector-137 Noida,Noida",28.506454,77.40956800000001,4200000.0,889.8305085000001,2,28.506454,77.40956800000001,Unknown
Owner,0,0,3,BHK,2738.22563,1,1,"Basapura,Bangalore",12.863421,77.652405,15000000.0,2738.22563,3,12.863421,77.652405,Unknown
Dealer,1,1,4,BHK,1725.4901960000002,0,0,"Deonar,Maharashtra",19.049513,72.91920400000001,44000000.0,1725.4901960000002,4,19.049513,72.91920400000001,Unknown
Dealer,1,1,3,BHK,2488.004265,0,1,"Sector-82 Mohali,Mohali",30.654128000000004,76.732427,14000000.0,2488.004265,3,30.654128000000004,76.732427,Unknown
Dealer,0,0,3,BHK,1200.082764,1,1,"Satgachi,Kolkata",23.207157,88.404471,5800000.0,1200.082764,3,23.207157,88.404471,Unknown
Dealer,0,0,2,BHK,1584.283904,1,1,"Tilak Nagar,Kanpur",26.459137,79.506922,10000000.0,1584.283904,2,26.459137,79.506922,Unknown
Owner,0,0,2,BHK,900.0,1,1,"Kalol,Gandhinagar",23.2257,72.51679,1800000.0,900.0,2,23.2257,72.51679,Unknown
Dealer,0,1,2,BHK,1193.440032,1,1,"Talegaon,Pune",18.441256,74.647361,6040000.0,1193.440032,2,18.441256,74.647361,Unknown
Owner,0,0,2,BHK,1487.357462,1,1,"Mansarovar Extension,Jaipur",26.8626,75.7633,3000000.0,1487.357462,2,26.8626,75.7633,Unknown
Owner,1,1,2,BHK,989.9029895,0,1,"Sector-143 Noida,Noida",28.5035,77.426447,5000000.0,989.9029895,2,28.5035,77.426447,Unknown
Dealer,0,0,2,BHK,1155.020213,1,1,"Bhandup (West),Maharashtra",19.147866,72.932609,14000000.0,1155.020213,2,19.147866,72.932609,Unknown
Owner,0,0,2,BHK,949.893137,1,1,"Eswaran Koil Street,Pondicherry",11.93,79.83,8000000.0,949.893137,2,11.93,79.83,Unknown
Owner,0,0,2,BHK,875.0,1,1,"Sector-78 Noida,Noida",28.560719,77.386208,4900000.0,875.0,2,28.560719,77.386208,Unknown
Dealer,0,0,2,BHK,853.3611982000001,1,1,"Ananth Nagar,Bangalore",12.96991,77.59796,2450000.0,853.3611982000001,2,12.96991,77.59796,Unknown
Owner,0,0,1,BHK,483.0917874,1,1,"Roha,Raigad",18.4543,73.1147,1800000.0,483.0917874,1,18.4543,73.1147,Unknown
Dealer,0,0,2,BHK,800.0,1,1,"Thane West,Maharashtra",19.18,72.96333,9500000.0,800.0,2,19.18,72.96333,Unknown
Owner,0,0,2,BHK,802.0415602999999,1,1,"Ankur Vihar,Ghaziabad",28.66667,77.41667,2200000.0,802.0415602999999,2,28.66667,77.41667,Unknown
Dealer,0,1,2,BHK,610.0660905,1,1,"Koyambedu,Chennai",13.069866,80.19842299999999,4800000.0,610.0660905,2,13.069866,80.19842299999999,Unknown
Owner,0,0,3,BHK,1680.107527,1,1,"Naveen Nagar,Kanpur",28.861993,78.756315,7500000.0,1680.107527,3,28.861993,78.756315,Unknown
Owner,0,0,2,BHK,1150.136038,1,1,"Nirman Nagar,Jaipur",19.980678,79.297436,9300000.0,1150.136038,2,19.980678,79.297436,Unknown
Owner,0,0,3,BHK,1550.114497,1,1,"Sector-75 Noida,Noida",28.576117,77.382136,8800000.0,1550.114497,3,28.576117,77.382136,Unknown
Owner,0,0,5,BHK,1699.834163,1,1,"Sahibabad,Ghaziabad",28.6711,77.3683,8200000.0,1699.834163,5,28.6711,77.3683,Unknown
Owner,1,0,3,BHK,1600.170685,0,1,"Tripunithura,Kochi",9.952439,76.36329649999999,7500000.0,1600.170685,3,9.952439,76.36329649999999,Unknown
Owner,0,0,1,BHK,600.0566091,1,1,"Pen,Raigad",18.75,73.08,2120000.0,600.0566091,1,18.75,73.08,Unknown
Dealer,0,1,2,BHK,1429.200617,1,1,"Sector-66A Mohali,Mohali",30.661104,76.746082,6490000.000000001,1429.200617,2,30.661104,76.746082,Unknown
Owner,0,0,2,BHK,1115.1379980000002,1,1,"Dodda Banaswadi,Bangalore",13.008071,77.65129499999999,8000000.0,1115.1379980000002,2,13.008071,77.65129499999999,Unknown
Dealer,0,0,4,BHK,2750.929368,1,1,"Sikandra,Agra",27.216013,77.950834,7400000.0,2750.929368,4,27.216013,77.950834,Unknown
Owner,0,0,3,BHK,1811.196487,1,1,"Kanke,Ranchi",23.35556,85.33471999999999,9900000.0,1811.196487,3,23.35556,85.33471999999999,Unknown
Owner,0,0,2,BHK,1045.036079,1,1,"Narendrapur,Kolkata",22.43917,88.39583,4200000.0,1045.036079,2,22.43917,88.39583,Unknown
Dealer,0,0,3,BHK,3433.996566,1,1,"Sector-65 Gurgaon,Gurgaon",28.403138,77.070052,34000000.0,3433.996566,3,28.403138,77.070052,Unknown
Owner,0,0,3,BHK,1298.219585,1,1,"Electronics City Phase 1,Bangalore",12.840956,77.659441,7000000.0,1298.219585,3,12.840956,77.659441,Unknown
Owner,1,1,2,BHK,1109.165207,0,1,"Katapady,Udupi",13.278237,74.747328,3800000.0,1109.165207,2,13.278237,74.747328,Unknown
Dealer,1,1,4,BHK,1304.034182,0,0,"Kanchpada,Maharashtra",18.96,72.82,47000000.0,1304.034182,4,18.96,72.82,Unknown
Dealer,0,1,2,BHK,1041.195111,1,1,"Sector-70 Noida,Noida",28.59632,77.38143000000001,4600000.0,1041.195111,2,28.59632,77.38143000000001,Unknown
Dealer,0,0,3,BHK,2135.748916,1,1,"Sector 82 Faridabad,Faridabad",28.394375,77.35722700000001,8370000.0,2135.748916,3,28.394375,77.35722700000001,Unknown
Owner,0,1,3,BHK,1850.180505,1,1,"Noida Extension,Noida",28.579004,77.431173,8200000.0,1850.180505,3,28.579004,77.431173,Unknown
Dealer,0,0,3,BHK,1665.080875,1,1,"Kudasan,Gandhinagar",23.166495,72.63429000000001,7000000.0,1665.080875,3,23.166495,72.63429000000001,Unknown
Owner,0,1,2,BHK,398.2621289,1,1,"Purseni,Lucknow",26.707154,80.98234599999999,1100000.0,398.2621289,2,26.707154,80.98234599999999,Unknown
Owner,0,0,2,BHK,1005.025126,1,1,"Chandapura,Bangalore",12.80009,77.71181999999999,4800000.0,1005.025126,2,12.80009,77.71181999999999,Unknown
Dealer,0,1,4,BHK,4900.959771,1,1,"Kharadi,Pune",18.5438,73.9438,24000000.0,4900.959771,4,18.5438,73.9438,Unknown
Dealer,0,1,2,BHK,1294.016156,1,1,"4 Bunglows,Mumbai",19.128324,72.825408,33000000.0,1294.016156,2,19.128324,72.825408,Unknown
Dealer,0,1,3,BHK,1536.806516,1,1,"Sector-3 Vaishali,Ghaziabad",28.6423,77.3445,10000000.0,1536.806516,3,28.6423,77.3445,Unknown
Owner,0,0,2,BHK,1123.188406,1,1,"Kaggadasapura,Bangalore",12.9816,77.6729,6200000.0,1123.188406,2,12.9816,77.6729,Unknown
Dealer,0,0,2,BHK,800.1939864,1,1,"Jhotwara,Jaipur",26.955346,75.73479300000001,1650000.0,800.1939864,2,26.955346,75.73479300000001,Unknown
Dealer,0,1,4,BHK,2655.8073649999997,1,1,"Manpada,Maharashtra",19.239813,72.962722,30000000.0,2655.8073649999997,4,19.239813,72.962722,Unknown
Dealer,0,0,3,BHK,1513.775356,1,1,"JP Nagar,Bangalore",12.905368,77.580403,10000000.0,1513.775356,3,12.905368,77.580403,Unknown
Owner,0,0,3,BHK,1280.0,1,1,"Ponekkara,Kochi",9.930471,76.271273,4800000.0,1280.0,3,9.930471,76.271273,Unknown
Owner,0,0,1,BHK,410.0678733,1,1,"Sector-18 Vrindavan Colony,Lucknow",28.568846,77.324966,1450000.0,410.0678733,1,28.568846,77.324966,Unknown
Dealer,0,0,4,BHK,3429.355281,1,1,"Vasna Road,Vadodara",22.312063,72.674296,10000000.0,3429.355281,4,22.312063,72.674296,Unknown
Dealer,0,0,2,BHK,890.0451868999999,1,1,"Sector-25 Khandeshhwar,Mumbai",28.582887,77.339935,6500000.0,890.0451868999999,2,28.582887,77.339935,Unknown
Owner,0,0,2,BHK,977.7082519,1,1,"Bicholi Mardana,Indore",22.1764,75.8193,2500000.0,977.7082519,2,22.1764,75.8193,Unknown
Dealer,0,0,2,BHK,1099.855282,1,1,"Syndicate Bank Colony,Bangalore",12.977126,77.577724,3800000.0,1099.855282,2,12.977126,77.577724,Unknown
Owner,1,0,2,BHK,1050.241272,0,1,"Paota,Jodhpur",26.29564,73.03943000000001,3700000.0,1050.241272,2,26.29564,73.03943000000001,Unknown
Dealer,0,1,3,BHK,1400.241838,1,1,"Raj Nagar Extension,Ghaziabad",26.900926,75.775927,5790000.0,1400.241838,3,26.900926,75.775927,Unknown
Dealer,0,0,3,BHK,1740.139211,1,1,"Sector 19 Kharghar,Mumbai",19.048979,73.078232,18000000.0,1740.139211,3,19.048979,73.078232,Unknown
Dealer,0,1,2,BHK,1149.131767,1,1,"Marol,Lalitpur",24.69028,78.41889,18000000.0,1149.131767,2,24.69028,78.41889,Unknown
Dealer,0,0,2,BHK,650.1950585,1,1,"Vadavalli,Coimbatore",11.026678,76.903583,2000000.0,650.1950585,2,11.026678,76.903583,Unknown
Owner,0,0,2,BHK,1355.01355,1,1,"Gopalpura Bypass,Jaipur",26.878068,75.77985600000001,8500000.0,1355.01355,2,26.878068,75.77985600000001,Unknown
Dealer,0,0,3,BHK,1800.0720030000002,1,1,"Rasanna Colony,Bangalore",12.96991,77.59796,15000000.0,1800.0720030000002,3,12.96991,77.59796,Unknown
Dealer,0,1,2,BHK,907.6305221,1,1,"Taloja,Maharashtra",21.56128,74.21238000000001,3390000.0,907.6305221,2,21.56128,74.21238000000001,Unknown
Dealer,0,0,3,BHK,1636.296021,1,1,"Budigere,Bangalore",13.141581,77.749756,8800000.0,1636.296021,3,13.141581,77.749756,Unknown
Owner,0,0,2,BHK,900.2520706,1,1,"Tarsali,Vadodara",22.261354,73.215533,2500000.0,900.2520706,2,22.261354,73.215533,Unknown
Owner,0,0,2,BHK,1318.0440230000002,1,1,"Doddakannelli,Bangalore",12.905538,77.694263,10000000.0,1318.0440230000002,2,12.905538,77.694263,Unknown
Dealer,0,1,3,BHK,1949.586451,1,1,"Sector-88 Mohali,Mohali",30.684523,76.691728,9900000.0,1949.586451,3,30.684523,76.691728,Unknown
Dealer,0,0,3,BHK,1643.36522,1,1,"Kakkanad,Kochi",9.930471,76.271273,6700000.0,1643.36522,3,9.930471,76.271273,Unknown
Dealer,0,0,3,BHK,1233.045623,1,1,"Kanjur Marg (East),Maharashtra",18.96,72.82,21000000.0,1233.045623,3,18.96,72.82,Unknown
Dealer,0,0,1,BHK,655.0802139,1,1,"Sector 20 Ulwe,Maharashtra",18.964489,73.019574,4900000.0,655.0802139,1,18.964489,73.019574,Unknown
Owner,0,0,2,BHK,1180.173092,1,1,"Ferrar Nagar,Bangalore",12.96991,77.59796,7500000.0,1180.173092,2,12.96991,77.59796,Unknown
Owner,0,0,3,BHK,1200.087279,1,1,"Sahibabad,Ghaziabad",28.6711,77.3683,5500000.0,1200.087279,3,28.6711,77.3683,Unknown
Dealer,0,0,4,BHK,6974.645114,1,1,"New Alipore,Kolkata",22.53028,88.33417,170000000.0,6974.645114,4,22.53028,88.33417,Unknown
Owner,1,1,4,BHK,2700.075602,0,1,"Sector-98 Noida,Noida",28.535689,77.35967099999999,25000000.0,2700.075602,4,28.535689,77.35967099999999,Unknown
Owner,0,0,2,BHK,850.0991782,1,1,"Ajmer Road,Jaipur",26.928785,75.828002,3000000.0,850.0991782,2,26.928785,75.828002,Unknown
Dealer,1,1,4,BHK,2636.296531,0,1,"Konanakunte,Bangalore",12.8855,77.5638,25000000.0,2636.296531,4,12.8855,77.5638,Unknown
Owner,0,0,2,BHK,900.0163639,1,1,"Roopena Agrahara,Bangalore",12.928575,77.58572099999999,5500000.0,900.0163639,2,12.928575,77.58572099999999,Unknown
Dealer,1,0,4,BHK,2472.952087,0,1,"NIBM,Pune",18.475864,73.89000899999999,16000000.0,2472.952087,4,18.475864,73.89000899999999,Unknown
Dealer,0,0,2,BHK,904.0656205,1,1,"Suraksha Nagar,Bangalore",20.098413,79.10786,5070000.0,904.0656205,2,20.098413,79.10786,Unknown
Dealer,1,1,1,BHK,265.0033933,0,1,"Andheri (East),Lalitpur",19.1145,72.8712,8200000.0,265.0033933,1,19.1145,72.8712,Unknown
Dealer,1,1,3,BHK,1570.306924,0,1,"Tonk Road,Jaipur",26.16667,75.78333,11000000.0,1570.306924,3,26.16667,75.78333,Unknown
Dealer,0,0,2,BHK,955.4140127,1,1,"Hiranandani Estate,Lalitpur",19.255098,72.9815265,15000000.0,955.4140127,2,19.255098,72.9815265,Unknown
Dealer,0,0,2,BHK,1000.0,1,1,"Sector-53 Noida,Noida",28.593566,77.362752,6000000.0,1000.0,2,28.593566,77.362752,Unknown
Dealer,0,0,4,BHK,2494.747899,1,1,"Kadugodi,Bangalore",12.995285,77.766797,9500000.0,2494.747899,4,12.995285,77.766797,Unknown
Owner,0,0,2,BHK,1150.130348,1,1,"Villivakkam Near ICF Bus Stand,Chennai",13.1101,80.2095,7500000.0,1150.130348,2,13.1101,80.2095,Unknown
